x, y, v_x, v_y
803.23, 790.205, 473.096, 457.292
807.961, 794.778, 472.971, 457.073
812.691, 799.348, 472.847, 456.855
817.42, 803.917, 472.722, 456.636
822.147, 808.483, 472.598, 456.418
826.873, 813.047, 472.474, 456.2
831.598, 817.609, 472.35, 455.982
836.321, 822.169, 472.226, 455.764
841.043, 826.727, 472.102, 455.547
845.764, 831.282, 471.978, 455.329
850.484, 835.836, 471.854, 455.112
855.203, 840.387, 471.73, 454.894
859.92, 844.936, 471.607, 454.677
864.636, 849.483, 471.483, 454.459
869.351, 854.027, 471.36, 454.242
874.064, 858.57, 471.236, 454.025
878.777, 863.11, 471.113, 453.808
883.488, 867.648, 470.99, 453.592
888.198, 872.184, 470.866, 453.375
892.906, 876.718, 470.743, 453.158
897.614, 881.249, 470.62, 452.942
902.32, 885.779, 470.497, 452.725
907.025, 890.306, 470.374, 452.509
911.729, 894.831, 470.252, 452.293
916.431, 899.354, 470.129, 452.076
921.133, 903.875, 470.006, 451.86
925.833, 908.393, 469.884, 451.644
930.532, 912.91, 469.761, 451.429
935.229, 917.424, 469.639, 451.213
939.926, 921.936, 469.516, 450.997
944.621, 926.446, 469.394, 450.782
949.315, 930.954, 469.272, 450.566
954.007, 935.459, 469.15, 450.351
958.699, 939.963, 469.028, 450.136
963.389, 944.464, 468.906, 449.92
968.078, 948.964, 468.784, 449.705
972.766, 953.461, 468.662, 449.49
977.453, 957.955, 468.54, 449.276
982.138, 962.448, 468.419, 449.061
986.822, 966.939, 468.297, 448.846
991.505, 971.427, 468.176, 448.632
996.187, 975.914, 468.054, 448.417
1000.87, 980.398, 467.933, 448.203
1005.55, 984.88, 467.811, 447.989
1010.22, 989.36, 467.69, 447.774
1014.9, 993.837, 467.569, 447.56
1019.58, 998.313, 467.448, 447.346
1024.25, 1002.79, 467.327, 447.132
1028.93, 1007.26, 467.206, 446.919
1033.6, 1011.73, 467.085, 446.705
1038.27, 1016.19, 466.965, 446.491
1042.94, 1020.66, 466.844, 446.278
1047.61, 1025.12, 466.723, 446.065
1052.27, 1029.58, 466.603, 445.851
1056.94, 1034.04, 466.482, 445.638
1061.6, 1038.5, 466.362, 445.425
1066.27, 1042.95, 466.242, 445.212
1070.93, 1047.4, 466.121, 444.999
1075.59, 1051.85, 466.001, 444.786
1080.25, 1056.3, 465.881, 444.574
1084.91, 1060.75, 465.761, 444.361
1089.57, 1065.19, 465.641, 444.148
1094.22, 1069.63, 465.521, 443.936
1098.88, 1074.07, 465.402, 443.724
1103.53, 1078.51, 465.282, 443.511
1108.19, 1082.94, 465.162, 443.299
1112.84, 1087.38, 465.043, 443.087
1117.49, 1091.81, 464.923, 442.875
1122.14, 1096.24, 464.804, 442.663
1126.79, 1100.66, 464.685, 442.452
1131.43, 1105.09, 464.565, 442.24
1136.08, 1109.51, 464.446, 442.028
1140.72, 1113.93, 464.327, 441.817
1145.37, 1118.35, 464.208, 441.606
1150.01, 1122.76, 464.089, 441.394
1154.65, 1127.18, 463.97, 441.183
1159.29, 1131.59, 463.851, 440.972
1163.93, 1136, 463.732, 440.761
1168.56, 1140.41, 463.614, 440.55
